Invoice Number,Invoice Date,Payment Terms,Invoice Currency,Company Name,Line Number,Item Name,Quantity,Amount,Total Amount,VAT,Invoice Amount
AA4234,28-Jun-2020,83,INR,Digitube,1,"Lid - High Heat, Super Clear",5,2279,11395,20,13674
AC1343,27-Sep-2020,63,INR,Mybuzz,1,Kiwi,7,329,2303,20,2763.6
CC4424,04-Apr-2020,50,INR,Oyope,1,Dry Ice,5,2719,13595,20,16314
AB4444,23-Aug-2020,82,INR,Mudo,1,Beer - Camerons Auburn,6,1206,7236,20,8683.2
BC1434,16-Jun-2020,29,INR,Trilia,1,Quail - Jumbo,3,1523,4569,20,5482.8
CA3232,14-Nov-2020,25,INR,Latz,1,"Wine - Saint - Bris 2002, Sauv",4,2381,9524,20,11428.8
CA3334,26-Jan-2021,90,INR,Skalith,1,Chicken - Ground,2,2198,4396,20,5275.2
CA4441,18-Jun-2020,82,INR,Skipstorm,1,Beef Ground Medium,4,1402,5608,20,6729.6
BC4144,18-Jul-2020,60,INR,Babblestorm,1,"Pasta - Gnocchi, Potato",9,392,3528,20,4233.6
CC1443,04-Mar-2021,71,INR,Devpulse,1,English Muffin,9,1940,17460,20,20952
CC2433,11-Mar-2021,8,INR,Skidoo,1,Flour - Whole Wheat,6,778,4668,20,5601.6
CC2144,05-Oct-2020,71,INR,Cogidoo,1,Bread - Pita,1,2754,2754,20,3304.8
BC3334,30-Jul-2020,32,INR,Kimia,1,Magnotta - Bel Paese White,8,1316,10528,20,12633.6
CC2244,11-Jan-2021,30,INR,Cogidoo,1,Wine - Cotes Du Rhone,4,2175,8700,20,10440
BC4342,02-Jan-2021,71,INR,Feednation,1,Plums - Red,1,1407,1407,20,1688.4
CA2344,07-Mar-2020,76,INR,Yodo,1,Sauce - Vodka Blush,10,2190,21900,20,26280
CA2344,11-May-2020,84,INR,Skiptube,1,Coriander - Seed,4,674,2696,20,3235.2
BB2444,19-May-2020,71,INR,Oodoo,1,Beef - Top Butt,9,1689,15201,20,18241.2
BC1242,14-Jan-2020,23,INR,Bubbletube,1,Tuna - Sushi Grade,3,416,1248,20,1497.6
CC2441,09-Jan-2021,74,INR,Latz,1,"Turkey - Whole, Fresh",6,334,2004,20,2404.8
CC1124,26-Jan-2021,70,INR,Mynte,1,Pastry - Carrot Muffin - Mini,7,2496,17472,20,20966.4
CC2443,28-Jul-2020,22,INR,Riffpedia,1,Pork Loin Bine - In Frenched,6,1059,6354,20,7624.8
BB1134,13-Dec-2020,22,INR,Leexo,1,Mussels - Cultivated,5,322,1610,20,1932
CB4434,23-Oct-2020,63,INR,Voolith,1,"Schnappes - Peach, Walkers",8,1254,10032,20,12038.4
BA3343,30-Sep-2020,70,INR,Trudeo,1,Catfish - Fillets,3,1922,5766,20,6919.2
AC1244,31-Mar-2020,28,INR,Jabbersphere,1,Wine - Jaboulet Cotes Du Rhone,10,2887,28870,20,34644
AC2433,11-Mar-2020,85,INR,Yacero,1,Soup - Campbells - Tomato,10,1864,18640,20,22368
AB4434,25-Aug-2020,59,INR,Eabox,1,Table Cloth 90x90 White,5,1968,9840,20,11808
BC4334,07-Jul-2020,34,INR,Zoomzone,1,Table Cloth 54x72 Colour,9,1652,14868,20,17841.6
AB3444,10-Dec-2020,27,INR,Kanoodle,1,"Beans - Kidney, Red Dry",10,2254,22540,20,27048
CC4434,08-Apr-2020,38,INR,Brainbox,1,"Soup - Campbells, Creamy",8,2292,18336,20,22003.2
AA4333,23-Aug-2020,29,INR,Quinu,1,"Stock - Veal, White",6,2896,17376,20,20851.2
CC1413,01-Apr-2020,52,INR,Zoonoodle,1,Sardines,8,2134,17072,20,20486.4
CC1444,03-Aug-2020,42,INR,Quaxo,1,Juice - Apple 284ml,10,1531,15310,20,18372
CC4144,16-Oct-2020,71,INR,Voolith,1,Chip - Potato Dill Pickle,4,855,3420,20,4104
CB4422,14-Sep-2020,64,INR,Youspan,1,"Shrimp - 21/25, Peel And Deviened",1,2088,2088,20,2505.6
BC2324,24-Oct-2020,37,INR,Aivee,1,Nougat - Paste / Cream,6,310,1860,20,2232
CA3144,06-May-2020,13,INR,Quinu,1,V8 - Vegetable Cocktail,1,2230,2230,20,2676
BC4432,15-Nov-2020,10,INR,Dazzlesphere,1,Wine - Vovray Sec Domaine Huet,2,2357,4714,20,5656.8
CC4433,29-Jan-2021,81,INR,Kare,1,Water - Aquafina Vitamin,1,2284,2284,20,2740.8
BB4344,26-Mar-2020,70,INR,Trudoo,1,"Fish - Halibut, Cold Smoked",10,1319,13190,20,15828
BB3434,25-Jan-2020,48,INR,Skyndu,1,Cognac - Courvaisier,1,2153,2153,20,2583.6
AC3444,20-Mar-2020,76,INR,Jabberbean,1,Table Cloth 62x120 White,10,1188,11880,20,14256
CC2444,22-Jan-2020,24,INR,LiveZ,1,Yogurt - Assorted Pack,2,2477,4954,20,5944.8
BC4423,03-Oct-2020,84,INR,Jaloo,1,Onions - Cippolini,9,1860,16740,20,20088
AB1342,01-Jul-2020,58,INR,Voolia,1,"Asparagus - Green, Fresh",1,1135,1135,20,1362
CC3344,27-May-2020,57,INR,Skynoodle,1,Tea - Herbal Sweet Dreams,7,904,6328,20,7593.6
CC3444,04-Mar-2021,30,INR,Flipstorm,1,"Veal - Shank, Pieces",7,564,3948,20,4737.6
AC2344,05-Sep-2020,89,INR,Wikizz,1,Tea - Jasmin Green,4,270,1080,20,1296
AA3434,27-Apr-2020,38,INR,Bubbletube,1,Soup - Campbells Chili Veg,9,1684,15156,20,18187.2
AA3432,15-Sep-2020,9,INR,Plambee,1,"Pepper - Black, Whole",1,1215,1215,20,1458
CB1444,28-Mar-2020,23,INR,Camido,1,Tofu - Soft,8,2464,19712,20,23654.4
CC2143,30-Jun-2020,10,INR,Vinder,1,"Mushrooms - Black, Dried",4,1687,6748,20,8097.6
BC1434,16-Feb-2020,90,INR,Edgepulse,1,Wine - Cotes Du Rhone Parallele,10,1470,14700,20,17640
BB4314,26-Dec-2020,53,INR,Rooxo,1,Garlic,4,1994,7976,20,9571.2
AC4343,14-Oct-2020,24,INR,Izio,1,"Tea - Darjeeling, Azzura",3,2912,8736,20,10483.2
AC4444,23-Jun-2020,55,INR,Mudo,1,Wine - Mondavi Coastal Private,3,2916,8748,20,10497.6
AB4444,03-Mar-2020,89,INR,Devpulse,1,Basil - Thai,5,953,4765,20,5718
BC4414,13-Aug-2020,51,INR,Dazzlesphere,1,Iced Tea Concentrate,4,2344,9376,20,11251.2
CC4434,06-Nov-2020,42,INR,Feedmix,1,Thyme - Dried,7,2708,18956,20,22747.2
AB3443,12-Feb-2021,90,INR,Tambee,1,Beef Ground Medium,2,999,1998,20,2397.6
CC2421,24-Feb-2020,48,INR,Chatterpoint,1,Honey - Lavender,3,613,1839,20,2206.8
CC3331,24-Jul-2020,56,INR,Quatz,1,Canada Dry,3,2929,8787,20,10544.4
CC4344,03-Aug-2020,28,INR,Feedbug,1,Wine - Jaboulet Cotes Du Rhone,5,2349,11745,20,14094
AC2344,26-Oct-2020,37,INR,Edgepulse,1,Island Oasis - Mango Daiquiri,3,1828,5484,20,6580.8
BC4344,19-Mar-2020,56,INR,Jabbertype,1,Corn Shoots,3,417,1251,20,1501.2
CC4444,17-Jan-2021,57,INR,Eadel,1,Cookies - Englishbay Wht,9,1299,11691,20,14029.2
BB4333,17-Mar-2020,48,INR,Topiczoom,1,Cheese - Le Cru Du Clocher,10,732,7320,20,8784
AC2144,15-Apr-2020,59,INR,Ozu,1,Oil - Sesame,9,2315,20835,20,25002
CC4314,02-Mar-2020,59,INR,DabZ,1,"Soup - Knorr, Chicken Gumbo",8,866,6928,20,8313.6
CA4424,09-Sep-2020,90,INR,Livetube,1,Anisette - Mcguiness,3,2803,8409,20,10090.8
AA1443,21-Mar-2021,8,INR,Zoombox,1,Cranberry Foccacia,3,1859,5577,20,6692.4
CA4444,17-Jan-2020,49,INR,Pixoboo,1,Lobster - Base,9,699,6291,20,7549.2
AB1144,29-Mar-2021,51,INR,Trilith,1,"Syrup - Golden, Lyles",2,2789,5578,20,6693.6
AC4324,28-Jan-2020,27,INR,Tazzy,1,"Chicken - Wings, Tip Off",1,1861,1861,20,2233.2
BC4343,14-Aug-2020,57,INR,Tagtune,1,Cognac - Courvaisier,2,1597,3194,20,3832.8
AB3244,11-Oct-2020,34,INR,Tazzy,1,Tomatoes - Roma,8,1484,11872,20,14246.4
BC4431,24-Nov-2020,84,INR,Skinder,1,"Shrimp - Baby, Warm Water",3,669,2007,20,2408.4
CA4441,05-Feb-2020,31,INR,Oyope,1,Napkin Colour,1,1365,1365,20,1638
CC4442,22-Mar-2020,64,INR,InnoZ,1,Aspic - Clear,2,2708,5416,20,6499.2
CA4434,09-Sep-2020,50,INR,Flashset,1,Salt And Pepper Mix - White,10,837,8370,20,10044
CB4334,26-Feb-2021,72,INR,Dabvine,1,Noodles - Steamed Chow Mein,4,1781,7124,20,8548.8
CB2434,30-Jan-2020,52,INR,Rhycero,1,Duck - Breast,3,2930,8790,20,10548
CA4433,25-Apr-2020,60,INR,Centidel,1,Mousse - Mango,3,1527,4581,20,5497.2
CC3322,01-Mar-2021,53,INR,Pixope,1,Chicken - Whole,10,767,7670,20,9204
AC3441,04-Nov-2020,45,INR,Youspan,1,Bread - Petit Baguette,6,1467,8802,20,10562.4
AC3241,06-Jul-2020,86,INR,Blogtags,1,Mushroom - Lg - Cello,1,1308,1308,20,1569.6
AA2224,18-Jan-2021,72,INR,Wordware,1,Sage - Fresh,5,2826,14130,20,16956
AA4444,14-Feb-2020,62,INR,Gigashots,1,Oyster - In Shell,10,358,3580,20,4296
CA2441,25-Mar-2020,88,INR,Edgeify,1,Chef Hat 20cm,9,2845,25605,20,30726
CC4233,20-Mar-2021,42,INR,Yakijo,1,Shrimp - 31/40,4,348,1392,20,1670.4
AC3431,07-Mar-2020,16,INR,Rhyloo,1,Vaccum Bag 10x13,3,1530,4590,20,5508
BB4414,03-May-2020,71,INR,Buzzshare,1,Anchovy Fillets,6,2242,13452,20,16142.4
BC4431,12-Apr-2020,9,INR,Topiczoom,1,"Fish - Halibut, Cold Smoked",3,1301,3903,20,4683.6
CA4143,06-Jun-2020,78,INR,Dazzlesphere,1,"Bread - Bagels, Mini",4,2744,10976,20,13171.2
CA4432,04-Nov-2020,71,INR,Riffpath,1,Truffle Shells - Semi - Sweet,10,2495,24950,20,29940
BC4433,18-Jun-2020,15,INR,Feedfish,1,Wine - Cava Aria Estate Brut,10,2113,21130,20,25356
CC3441,02-Apr-2020,47,INR,Dablist,1,Ecolab Digiclean Mild Fm,6,2908,17448,20,20937.6
BB3443,23-Dec-2020,55,INR,Thoughtworks,1,Clam Nectar,10,257,2570,20,3084
CC4443,27-Oct-2020,72,INR,Twitterbeat,1,"Lettuce - Mini Greens, Whole",5,1286,6430,20,7716
BB2414,05-Apr-2020,59,INR,Skimia,1,"Pork - Back, Long Cut, Boneless",4,1004,4016,20,4819.2
CC3443,26-Apr-2020,71,INR,Jayo,1,Dc Hikiage Hira Huba,7,2056,14392,20,17270.4
CA3334,15-Aug-2020,82,INR,Zoomlounge,1,"Tendrils - Baby Pea, Organic",4,1017,4068,20,4881.6
AB1242,30-Jan-2020,69,INR,Kazu,1,Red Cod Fillets - 225g,7,2056,14392,20,17270.4
AC4444,23-Jan-2021,58,INR,Wordify,1,Bar Nature Valley,9,923,8307,20,9968.4
CC4441,17-Sep-2020,64,INR,Jabbercube,1,Ice Cream Bar - Oreo Sandwich,8,2650,21200,20,25440
CC3442,30-Sep-2020,60,INR,Tagfeed,1,Coconut - Whole,2,2853,5706,20,6847.2
AA4444,24-Jul-2020,64,INR,Photofeed,1,Muffin Hinge Container 6,5,500,2500,20,3000
AB4333,16-Mar-2021,55,INR,Avavee,1,Sobe - Tropical Energy,1,390,390,20,468
CC4433,16-Oct-2020,40,INR,Pixonyx,1,Zucchini - Yellow,8,357,2856,20,3427.2
AB4434,12-Jan-2021,81,INR,Brainverse,1,Island Oasis - Sweet And Sour Mix,5,2471,12355,20,14826
CA4443,16-Apr-2020,10,INR,Devcast,1,Rum - Mount Gay Eclipes,2,2168,4336,20,5203.2
AA3433,24-Jun-2020,77,INR,Rhyzio,1,Pumpkin,8,215,1720,20,2064
AC4444,21-Oct-2020,65,INR,Realfire,1,"Doilies - 5, Paper",3,258,774,20,928.8
CC4441,25-Jan-2021,9,INR,Tavu,1,Fond - Neutral,3,1161,3483,20,4179.6
AA4441,26-Dec-2020,49,INR,Feedfish,1,Rice - Sushi,1,836,836,20,1003.2
BA4344,19-Jul-2020,74,INR,Jabbersphere,1,Beets - Pickled,10,2585,25850,20,31020
BB4444,23-Jan-2020,37,INR,Zooxo,1,Quiche Assorted,7,1389,9723,20,11667.6
CA4444,03-Oct-2020,58,INR,Brainbox,1,Flour - So Mix Cake White,5,2358,11790,20,14148
BC2443,04-Nov-2020,81,INR,Einti,1,"Juice - Grape, White",7,2774,19418,20,23301.6
AB3441,08-Oct-2020,65,INR,Dabfeed,1,"Brownies - Two Bite, Chocolate",3,2824,8472,20,10166.4
CB4143,02-Jul-2020,62,INR,Gigabox,1,Beef Tenderloin Aaa,3,576,1728,20,2073.6
BB4424,22-Oct-2020,86,INR,Chatterpoint,1,Table Cloth 90x90 Colour,6,1728,10368,20,12441.6
CB4334,21-Sep-2020,16,INR,Ntag,1,Broom Handle,3,1961,5883,20,7059.6
AC3323,24-Mar-2020,26,INR,Twimm,1,Cookie Trail Mix,2,2771,5542,20,6650.4
CC2433,13-Apr-2020,23,INR,Oodoo,1,"Brandy - Orange, Mc Guiness",10,1300,13000,20,15600
BC3422,06-Mar-2021,60,INR,Fanoodle,1,Wine - Trimbach Pinot Blanc,8,2834,22672,20,27206.4
AC3441,12-Feb-2021,78,INR,Skaboo,1,Table Cloth 54x72 White,7,1351,9457,20,11348.4
BB2442,26-Jul-2020,77,INR,Gevee,1,Versatainer Nc - 8288,8,1269,10152,20,12182.4
AC4424,05-Oct-2020,17,INR,Wikizz,1,Bananas,6,2208,13248,20,15897.6
CA4424,19-Dec-2020,46,INR,Yacero,1,Cabbage - Red,7,1064,7448,20,8937.6
CC4444,03-Sep-2020,44,INR,Zoombox,1,"Lamb - Leg, Boneless",2,1462,2924,20,3508.8
CC4414,04-Dec-2020,23,INR,Katz,1,Squash - Guords,2,1452,2904,20,3484.8
BA4334,17-Dec-2020,29,INR,Twimm,1,"Rum - Coconut, Malibu",2,2922,5844,20,7012.8
CC4334,27-Aug-2020,68,INR,Yodoo,1,Cheese - Taleggio D.o.p.,7,861,6027,20,7232.4
BB2321,25-Nov-2020,65,INR,Flashdog,1,Bread Roll Foccacia,6,343,2058,20,2469.6
AC4441,25-Nov-2020,40,INR,Blogspan,1,Pop - Club Soda Can,6,511,3066,20,3679.2
BA3134,02-Dec-2020,18,INR,Edgetag,1,"Bread - Dark Rye, Loaf",5,1262,6310,20,7572
CC4344,20-May-2020,70,INR,Blogtag,1,"Ranchero - Primerba, Paste",10,716,7160,20,8592
AB3421,08-Mar-2020,83,INR,Wordpedia,1,Blue Curacao - Marie Brizard,7,2782,19474,20,23368.8
CC4444,30-Dec-2020,40,INR,Fivechat,1,Puree - Passion Fruit,2,1226,2452,20,2942.4
CC4344,15-Jul-2020,81,INR,Dablist,1,Southern Comfort,9,543,4887,20,5864.4
CC1344,25-Feb-2021,21,INR,Zooxo,1,Wine - George Duboeuf Rose,3,1352,4056,20,4867.2
AC4444,30-Jun-2020,63,INR,Cogibox,1,Squash - Butternut,3,1297,3891,20,4669.2
CC2242,14-Dec-2020,78,INR,Devbug,1,Vodka - Moskovskaya,10,1413,14130,20,16956
CB1324,02-Jul-2020,20,INR,Jetwire,1,Tea Leaves - Oolong,2,2595,5190,20,6228
CC1424,29-Jun-2020,43,INR,Vitz,1,Paper Cocktail Umberlla 80 - 180,8,1742,13936,20,16723.2
AC3343,16-Dec-2020,19,INR,Twinder,1,Cocoa Butter,5,1909,9545,20,11454
AC4341,05-Mar-2021,65,INR,Youspan,1,Lettuce - Baby Salad Greens,9,1388,12492,20,14990.4
BB4433,11-Jun-2020,90,INR,Meeveo,1,Cheese - Wine,3,269,807,20,968.4
AC4334,06-Sep-2020,63,INR,Twinder,1,Waffle Stix,7,737,5159,20,6190.8
CA2414,20-Jun-2020,50,INR,Voolith,1,Gooseberry,5,650,3250,20,3900
CC4233,16-Jul-2020,15,INR,Youtags,1,Salt - Seasoned,9,262,2358,20,2829.6
BA3444,07-Dec-2020,62,INR,Flashspan,1,"Basil - Primerba, Paste",7,2054,14378,20,17253.6
AC4443,15-May-2020,28,INR,Aivee,1,Soup Campbells - Italian Wedding,6,993,5958,20,7149.6
CC1444,20-Mar-2021,7,INR,Aibox,1,Wine - Two Oceans Sauvignon,6,1572,9432,20,11318.4
CB4434,01-Feb-2020,34,INR,Oyope,1,Beef - Prime Rib Aaa,1,567,567,20,680.4
CC4144,11-Oct-2020,18,INR,Tagopia,1,Pants Custom Dry Clean,5,1369,6845,20,8214
CA3344,20-May-2020,64,INR,Ainyx,1,Jagermeister,2,528,1056,20,1267.2
AB4344,02-May-2020,42,INR,JumpXS,1,Table Cloth 54x72 White,1,1816,1816,20,2179.2
AA4124,05-May-2020,72,INR,Lazzy,1,"Lemonade - Island Tea, 591 Ml",7,2521,17647,20,21176.4
AA4324,27-Mar-2021,88,INR,Oyonder,1,Buttons,2,360,720,20,864
BC3342,26-Mar-2020,9,INR,Babblestorm,1,"Beans - Kidney, Canned",9,2490,22410,20,26892
CC4311,19-Mar-2020,52,INR,Tagchat,1,"Pasta - Fusili, Dry",6,1373,8238,20,9885.6
CB3113,28-Jul-2020,65,INR,Mymm,1,Soup - Campbells - Tomato,9,2885,25965,20,31158
BA3344,01-Jun-2020,29,INR,Twitterwire,1,Corn - Mini,4,2096,8384,20,10060.8
CC2242,14-Mar-2020,51,INR,Pixope,1,Leeks - Large,3,2321,6963,20,8355.6
AB4444,25-Jun-2020,68,INR,Yombu,1,Cheese - Perron Cheddar,5,223,1115,20,1338
CC4442,11-Jun-2020,19,INR,Linkbuzz,1,Wine - Chablis 2003 Champs,2,734,1468,20,1761.6
CC4424,07-Dec-2020,84,INR,Realfire,1,Sea Urchin,4,2993,11972,20,14366.4
AB4342,10-Dec-2020,81,INR,Photobean,1,Nantucket Apple Juice,8,270,2160,20,2592
AC2443,02-Oct-2020,20,INR,Meevee,1,Capers - Ox Eye Daisy,3,410,1230,20,1476
AB4444,26-Feb-2020,72,INR,Youfeed,1,White Baguette,2,1682,3364,20,4036.8
AB4442,01-Nov-2020,90,INR,Vimbo,1,Nantucket - Orange Mango Cktl,2,2181,4362,20,5234.4
CA4344,24-Jul-2020,23,INR,Babbleset,1,Lettuce - Boston Bib,3,1628,4884,20,5860.8
BC1442,07-Feb-2020,42,INR,Meevee,1,Watercress,2,1814,3628,20,4353.6
CA1442,04-Oct-2020,28,INR,Kimia,1,"Juice - Tomato, 10 Oz",6,2262,13572,20,16286.4
CA4244,11-Jun-2020,83,INR,Divanoodle,1,Icecream Bar - Del Monte,6,668,4008,20,4809.6
CC1213,20-Dec-2020,72,INR,Lazz,1,Pastry - Baked Cinnamon Stick,5,2792,13960,20,16752
AA4322,19-Apr-2020,33,INR,Izio,1,Pepper - Red Bell,3,1115,3345,20,4014
BA4134,09-Jul-2020,62,INR,JumpXS,1,Sage - Ground,4,1528,6112,20,7334.4
AA4413,30-Aug-2020,22,INR,Quire,1,Wine - Mondavi Coastal Private,10,538,5380,20,6456
CC4341,23-Feb-2020,34,INR,Yamia,1,Island Oasis - Magarita Mix,2,2650,5300,20,6360
BB4444,23-May-2020,14,INR,Yakitri,1,Beef - Top Sirloin,8,775,6200,20,7440
CC4444,31-Oct-2020,49,INR,Yotz,1,Wine - Touraine Azay - Le - Rideau,2,1680,3360,20,4032
CC3341,19-Feb-2021,87,INR,Oyondu,1,"Ecolab - Orange Frc, Cleaner",4,2404,9616,20,11539.2
BC1444,01-Jan-2021,52,INR,Pixope,1,Greens Mustard,3,414,1242,20,1490.4
BC3434,26-Mar-2020,55,INR,Youopia,1,Madeira,10,1841,18410,20,22092
CC3434,26-Jan-2020,44,INR,Riffpath,1,Squid Ink,10,2677,26770,20,32124
